position,number,name,height-in,weight-lb,age,from,team,salary-14-15
Guard,25,Mo Williams,73,198,32,Alabama,Minnesota Timberwolves,3750000
Forward,33,Thaddeus Young,80,221,26,Georgia Tech,Minnesota Timberwolves,9410870
Center,12,Steven Adams,84,250,21,Pittsburgh,Oklahoma City Thunder,2184960
Forward-center,4,Nick Collison,82,255,34,Kansas,Oklahoma City Thunder,2242003
Forward,35,Kevin Durant,83,220,26,Texas,Oklahoma City Thunder,18995624
Forward-center,9,Serge Ibaka,82,245,25,Spain,Oklahoma City Thunder,12350000
Guard,15,Reggie Jackson,75,208,24,Boston College,Oklahoma City Thunder,2204370
Forward,7,Grant Jerrett,82,232,21,Arizona,Oklahoma City Thunder,816481
Forward,3,Perry Jones,83,235,23,Baylor,Oklahoma City Thunder,1129200
Swingman,11,Jeremy Lamb,77,185,22,Connecticut,Oklahoma City Thunder,2202000
Forward,33,Mitch McGary,82,255,22,Michigan,Oklahoma City Thunder,1400040
Guard,2,Anthony Morrow,77,210,29,Georgia Tech,Oklahoma City Thunder,3200000
Center,5,Kendrick Perkins,82,270,30,Clifton J. Ozen HS (TX),Oklahoma City Thunder,9654342
Swingman,21,Andre Roberson,79,210,23,Colorado,Oklahoma City Thunder,1160880
Guard,8,Ish Smith,72,175,26,Wake Forest,Oklahoma City Thunder,981084
Guard,31,Sebastian Telfair,72,170,29,Abraham Lincoln HS (NY),Oklahoma City Thunder,1316809
Forward,42,Lance Thomas,80,225,26,Duke,Oklahoma City Thunder,948163
